month,day,t,DemH1,DemH2,GenE,DemE,OwnUseF,OwnUse,TempOutM,DemH1 (MWh),DemH2/h(MWh),Electricity load (MWh)
Apr15,24,114,,2967.9416343504977,8308.992,6345.308000000001,981.842,0.1181661987398712,8.38,0.0,3449.341767442148,6345.308000000001
Apr15,25,115,,2981.358209335126,8560.492,6542.088,1009.202,0.11789065394839456,11.35,0.0,3464.934510889283,6542.088
Apr15,26,116,,3082.691105754741,8630.476,6648.586000000001,990.945,0.11481927532154658,9.52,0.0,3582.7036031081593,6648.586000000001
Apr15,27,117,,3236.659875944917,8895.08,6897.954,998.563,0.11226014830670437,5.75,0.0,3761.6461078231823,6897.954
Apr15,28,118,,3245.8982456559015,8795.676,6779.379999999999,1008.148,0.11461859213549931,5.69,0.0,3772.3829411012885,6779.379999999999
Apr15,29,119,,2992.6729956445474,8259.204,6291.688,983.758,0.11911050992323231,5.35,0.0,3478.084555538093,6291.688
Apr15,30,120,,3205.8152395245056,9018.136,6220.3020000000015,1398.917,0.15512263288111866,8.71,0.0,3725.79847137538,6220.3020000000015
May15,1,121,,3020.9532863147138,8827.088,6890.959999999999,968.064,0.1096696894831002,12.59,0.0,3510.95190935496,6890.959999999999
May15,2,122,,3136.833723713571,8670.468,6753.588,958.44,0.11054074589745329,13.71,0.0,3645.628153699912,6753.588
May15,3,123,,3125.182717767354,8833.292,6875.031999999999,979.13,0.11084542433330632,12.9,0.0,3632.0873545892186,6875.031999999999
May15,4,124,,3003.2004525608677,8763.528,6879.974,941.777,0.10746550932455513,11.58,0.0,3490.31956596624,6879.974
May15,5,125,,3202.190237215935,8823.544,6931.843999999999,945.85,0.10719615610235525,15.19,0.0,3721.5854936923597,6931.843999999999
May15,6,126,,2745.336960211099,8611.816,6719.792000000001,946.012,0.10985046591798987,17.1,0.0,3190.630615157339,6719.792000000001
May15,7,127,,2496.2571714212954,8165.028,6292.386,936.321,0.11467456082208169,18.17,0.0,2901.150084625829,6292.386
May15,8,128,,2475.771763355904,7745.852,5915.414,915.219,0.11815601434161149,19.04,0.0,2877.3419433722315,5915.414
May15,9,129,,2553.6315021122336,7797.604,5953.574,922.015,0.11824337322079961,14.85,0.0,2967.8305317548375,5953.574
May15,10,130,,2577.814375475363,8253.588,6372.441999999999,940.573,0.11395928655513214,13.02,0.0,2995.935867177466,6372.441999999999
May15,11,131,,2693.4409756675136,8367.416,6494.719999999999,936.348,0.11190408125997321,14.4,0.0,3130.317101920784,6494.719999999999
May15,12,132,,2265.939332222146,7759.632,5925.534,917.049,0.1181820220340346,6.76,0.0,2633.474691908578,5925.534
May15,13,133,,44.37479829468697,6549.668,5013.755999999999,767.956,0.11725113395060636,12.25,0.0,51.57239057808519,5013.755999999999
May15,14,134,,,6584.764,5089.447999999999,747.658,0.11354362889846925,13.48,0.0,0.0,5089.447999999999
May15,15,135,,,6814.24,5256.003999999999,779.118,0.11433674188170656,14.15,0.0,0.0,5256.003999999999
May15,16,136,,,7255.384,5680.348,787.518,0.10854256645823296,15.63,0.0,0.0,5680.348
May15,17,137,,,7374.056,5740.36,816.848,0.1107732298208747,15.29,0.0,0.0,5740.36
May15,18,138,,,7698.104,6080.276000000001,808.914,0.1050796403893738,15.23,0.0,0.0,6080.276000000001
May15,19,139,,,8009.024,6318.744,845.14,0.10552346952637424,12.96,0.0,0.0,6318.744
May15,20,140,,,7645.26,5923.644,860.808,0.11259368549925051,14.15,0.0,0.0,5923.644
May15,21,141,,,4314.988,3214.7619999999997,550.113,0.12748888293547977,10.06,0.0,0.0,3214.7619999999997
May15,22,142,,,6395.724,4991.58,702.072,0.10977209147861915,10.1,0.0,0.0,4991.58
May15,23,143,,,7515.704,5859.817999999999,827.943,0.1101617360130202,9.69,0.0,0.0,5859.817999999999
May15,24,144,,,7733.676,6050.44,841.618,0.10882509171576363,12.08,0.0,0.0,6050.44
May15,25,145,,,7818.144,6098.112000000001,860.016,0.11000257861712447,10.38,0.0,0.0,6098.112000000001
May15,26,146,,,8026.04,6300.418000000001,862.811,0.10750145775500745,11.77,0.0,0.0,6300.418000000001
May15,27,147,,,7663.384,5985.938,838.723,0.10944551388785946,15.33,0.0,0.0,5985.938
May15,28,148,,,7419.62,5711.408,854.106,0.11511452068973883,16.29,0.0,0.0,5711.408
May15,29,149,,,7581.976,5884.579999999999,848.698,0.11193625513982107,15.46,0.0,0.0,5884.579999999999
May15,30,150,,,7695.444,6043.424,826.01,0.10733753633968358,14.71,0.0,0.0,6043.424
May15,31,151,,,7796.48,5056.011999999999,1370.2340000000004,0.1757503386143491,11.56,0.0,0.0,5056.011999999999
Jun15,1,152,,,7883.408,6268.318,807.545,0.10243602766722208,13.69,0.0,0.0,6268.318
Jun15,2,153,,,7513.516,5916.91,798.303,0.10624892527013985,17.25,0.0,0.0,5916.91
Jun15,3,154,,,7505.856,5840.245999999999,832.805,0.11095403375710912,19.5,0.0,0.0,5840.245999999999
Jun15,4,155,,,7304.012,5684.89,809.561,0.1108378518545698,20.92,0.0,0.0,5684.89
Jun15,5,156,,,7255.892,5666.4259999999995,794.733,0.10952933147296018,22.54,0.0,0.0,5666.4259999999995
Jun15,6,157,,,7123.044,5542.704,790.17,0.11093150624929454,20.08,0.0,0.0,5542.704
Jun15,7,158,,,7041.032,5474.831999999999,783.1,0.11121949168815026,22.5,0.0,0.0,5474.831999999999
Jun15,8,159,,,7300.484,5644.418,828.033,0.11342165807088954,14.85,0.0,0.0,5644.418
Jun15,9,160,,,6126.356,4621.5740000000005,752.391,0.1228121578308541,14.56,0.0,0.0,4621.5740000000005
Jun15,10,161,,,5587.2,4163.914,711.643,0.12737023911798398,17.13,0.0,0.0,4163.914
Jun15,11,162,,,5939.52,4477.918,730.801,0.1230404140401918,19.67,0.0,0.0,4477.918
Jun15,12,163,,,6965.92,5409.866,778.027,0.11169048740152054,17.52,0.0,0.0,5409.866
Jun15,13,164,,,7443.52,5773.058000000001,835.231,0.11220914298611409,19.96,0.0,0.0,5773.058000000001
Jun15,14,165,,,7647.84,5979.522000000001,834.159,0.10907118872779765,13.77,0.0,0.0,5979.522000000001
Jun15,15,166,,,7481.6,5782.704,849.448,0.11353828058169374,13.02,0.0,0.0,5782.704
