month,day,t (day N),DemHeat,DemSteam,GenE,DemE (F - F*OwnUse%),OwnUse,Temp.Out(Deg.C),Heat load (MW),Steam load (MW),Electricity load (MW)
Jun19,21,172,924.96,1684.6300713901492,3933.9986956521734,3249.4829226086954,0.174,19,44.791188,81.57821120706797,135.3951217753623
Jun19,22,173,951.5999999999999,2005.1817334639736,3713.6093043478268,3067.441285391305,0.174,19,46.08123,97.1009254429929,127.81005355797105
Jun19,23,174,962.64,1931.6700356795204,2863.3654782608696,2365.1398850434784,0.174,13,46.615841999999994,93.54112147778078,98.54749521014493
Jun19,24,175,1018.3199999999999,2098.3520811806197,2368.4878260869564,1956.370944347826,0.174,16,49.31214599999999,101.61269953117151,81.51545601449276
Jun19,25,176,938.64,2471.1396314500234,4034.815391304347,3332.7575132173906,0.174,20,45.453641999999995,119.66493665296737,138.86489638405794
Jun19,26,177,964.639128,2531.997128399964,5515.8713913043475,4556.109769217391,0.174,24,46.712649773399995,122.61196094276823,189.83790705072462
Jun19,27,178,975.053952,2732.4759689801913,4796.34852173913,3961.783878956521,0.174,21,47.21698762559999,132.32014879786576,165.07432828985506
Jun19,28,179,483.33477600000003,2828.4541031997296,3567.430782608696,2946.697826434783,0.174,15,23.405486527799997,136.96788994744688,122.77907610144929
Jun19,29,180,840.5456879999999,2893.4695006061943,3711.853391304348,3065.990901217391,0.174,16,40.703424941399994,140.11626056685495,127.74962088405796
Jun19,30,181,1279.9913999999999,2700.6052881904707,4333.897478260869,3579.7993170434784,0.174,16,61.98358354499999,130.77681108062353,149.1583048768116
Jul19,1,183,1103.708184,1954.7370211880827,4558.139217391305,3733.1160190434784,0.181,17,53.4470688102,94.65814025103289,155.54650079347826
Jul19,2,184,959.7081840000001,2176.230538147447,4595.114782608697,3763.399006956523,0.181,18,46.4738688102,105.3839638097901,156.8082919565218
Jul19,3,185,1031.708184,2043.462724428301,4786.840695652174,3920.4225297391304,0.181,21,49.960468810200005,98.95468243044047,163.35093873913044
Jul19,4,186,865.294824,2286.5556688395122,4219.919913043477,3456.114408782608,0.181,21,41.90190185219999,110.72645826355337,144.00476703260867
Jul19,5,187,1173.331992,2174.4787087390077,3794.461739130435,3107.664164347826,0.181,21,56.81860171259999,105.29913147068645,129.48600684782608
Jul19,6,188,1106.9544,1782.4975023491809,3816.9124347826096,3126.0512840869574,0.181,24,53.60426682,86.31744155125908,130.25213683695657
Jul19,7,189,847.821048,1936.6737358728567,4598.948695652174,3766.5389817391306,0.181,22,41.0557342494,93.78342565964307,156.93912423913045
Jul19,8,190,1011.1688879999999,1724.0375594941115,4984.306782608695,4082.1472549565215,0.181,20,48.96585340139999,83.48651881850235,170.08946895652173
Jul19,9,191,987.8433120000001,1911.3302684529615,3473.0600000000004,2844.4361400000003,0.181,21,47.836312383599996,92.55616824983464,118.5181725
Jul19,10,192,867.101976,2285.0680256172204,3354.3447826086954,2747.2083769565215,0.181,20,41.9894131878,110.65441914051388,114.46701570652174
Jul19,11,193,718.559424,2584.425869077276,3458.188260869564,2832.256185652173,0.181,20,34.7962401072,125.15082271006708,118.01067440217388
Jul19,12,194,770.354928,3096.641015067097,3342.130434782609,2737.204826086957,0.181,21,37.3044373884,149.95484115462418,114.05020108695653
Jul19,13,195,629.0066400000001,2978.7934795123024,3475.08347826087,2846.0933686956523,0.181,23,30.459646542,144.24807424538324,118.58722369565218
Jul19,14,196,557.574384,2527.028893639849,4841.319130434784,3965.040367826088,0.181,24,27.0005395452,122.37137417450965,165.21001532608702
Jul19,15,197,614.670936,2771.6950736988824,5568.891739130435,4560.922334347826,0.181,25,29.765440075799997,134.21933394386838,190.03843059782608
Jul19,16,198,661.257192,2026.7415483059067,5549.891739130435,4545.361334347826,0.181,23,32.0213795226,98.14495947671351,189.3900555978261
Jul19,17,199,575.011536,2397.3768658500744,4482.102608695653,3670.8420365217394,0.181,24,27.844933630799996,116.09297472878984,152.95175152173914
Jul19,18,200,586.708464,2809.6048839036785,4115.055217391306,3370.2302230434793,0.181,24,28.4113573692,136.05511650303563,140.4262592934783
Jul19,19,201,600.879912,2917.086166818384,4466.2478260869575,3657.856969565218,0.181,24,29.0976097386,141.25989762818023,152.41070706521742
